Ticker:,The earliest date of MD&A,The latest date of MD&A,Number of MD&A,The earliest date of price,The latest date of price,Average daily trading volume in USD,Average daily trading volume in USD for 180 days starting 2 years ago
BKH,2011-08-05,2011-08-05,1,2005-07-15,2020-07-10,110507.112,264500.095
NATI,2008-11-07,2019-10-31,22,2005-07-15,2020-07-10,105561.638,217539.21
GIII,2008-06-09,2019-12-06,14,2005-07-15,2020-07-10,105256.326,206023.238
AMN,2013-05-03,2019-11-04,21,2005-07-15,2020-07-10,104823.113,242574.91
SPB,2008-05-08,2019-08-07,36,2005-07-15,2020-07-10,102894.735,241349.942
NTLA,2016-06-03,2019-05-02,6,2016-05-06,2020-07-10,102146.974,202533.558
BGS,2008-04-30,2019-11-05,36,2007-05-23,2020-07-10,99943.451,267503.463
NTCT,2012-02-03,2019-10-31,24,2005-07-15,2020-07-10,99283.783,286199.415
WGO,2008-01-08,2019-12-20,33,2005-07-15,2020-07-10,98945.518,276932.537
AEIS,2008-08-07,2019-11-12,27,2005-07-15,2020-07-10,97848.992,246198.225
LFUS,2008-05-06,2019-10-30,15,2005-07-15,2020-07-10,95909.108,240855.679
BLKB,2009-05-08,2019-11-01,27,2005-07-15,2020-07-10,94094.62,201315.797
HCSG,2008-04-18,2019-10-25,34,2005-07-15,2020-07-10,92380.388,317080.381
PBH,2010-08-06,2011-08-05,4,2005-07-15,2020-07-10,89636.166,250030.538
WATT,2014-05-14,2019-11-12,17,2014-03-28,2020-07-10,87083.512,387461.211
SGMO,2008-05-09,2019-11-06,19,2005-07-15,2020-07-10,86425.044,334299.879
AJRD,2008-03-26,2019-10-29,34,2005-07-15,2020-07-10,84530.85,206260.575
IMGN,2008-02-07,2019-11-05,35,2005-07-15,2020-07-10,84202.777,250282.975
SPPI,2008-05-12,2019-11-07,22,2005-07-15,2020-07-10,79754.601,268532.9
FLXN,2014-05-12,2019-05-08,16,2014-02-12,2020-07-10,79517.07,233426.077
PNFP,2008-05-09,2019-11-01,28,2005-07-15,2020-07-10,79457.572,264914.716
DVAX,2008-05-02,2013-11-08,14,2005-07-15,2020-07-10,78720.247,288893.483
UHAL,2008-02-06,2019-02-06,29,2005-07-15,2020-07-10,78013.714,239029.478
BLDR,2008-05-01,2019-05-03,30,2005-07-15,2020-07-10,72205.591,214174.231
MDGL,2008-05-14,2019-05-08,33,2007-02-06,2020-07-10,68909.798,308316.478
ADMS,2014-05-13,2019-11-07,17,2014-04-10,2020-07-10,64142.445,247363.245
FIZZ,2008-03-06,2019-03-07,10,2007-06-12,2020-07-10,60079.649,226485.641
HOMB,2008-05-06,2017-11-07,13,2006-06-23,2020-07-10,59980.87,201413.84
EXTR,2011-04-29,2019-05-10,21,2005-07-15,2020-07-10,58904.419,231121.226
BGCP,2009-08-07,2015-11-09,7,2005-07-15,2020-07-10,57757.348,214616.671
UCTT,2008-05-07,2009-05-13,5,2005-07-15,2020-07-10,44757.774,256422.832
CORT,2008-05-13,2019-11-07,23,2005-07-15,2020-07-10,42173.297,274137.08
ETM,2008-05-06,2018-05-09,16,2005-07-15,2020-07-10,39805.441,264532.901
